ENV,REP,GEN,GY
1,1,1,3.39
1,1,2,3.28
1,1,3,3.78
1,1,4,3.55
1,1,5,3.4
1,1,6,3.8
1,1,7,3.47
1,1,8,3.9
1,1,9,3.24
1,1,10,4
1,1,11,4
1,1,12,3.68
1,1,13,4.37
1,1,14,4.8
1,1,15,3.19
1,1,16,4.58
1,1,17,4.25
1,1,18,3.77
1,1,19,4.03
1,1,20,3.75
1,2,1,4.4
1,2,2,3.92
1,2,3,4.18
1,2,4,4.87
1,2,5,3.82
1,2,6,3.5
1,2,7,3.42
1,2,8,4.23
1,2,9,4.24
1,2,10,4.43
1,2,11,4.8
1,2,12,3.87
1,2,13,4.5
1,2,14,5.12
1,2,15,4.55
1,2,16,5.77
1,2,17,4.77
1,2,18,4.67
1,2,19,3.9
1,2,20,4.31
1,3,1,4.97
1,3,2,5.43
1,3,3,5.21
1,3,4,5.52
1,3,5,4.41
1,3,6,4.13
1,3,7,4.1
1,3,8,4.67
1,3,9,5.61
1,3,10,5.29
1,3,11,4.86
1,3,12,3.88
1,3,13,4.65
1,3,14,5.84
1,3,15,5.24
1,3,16,5.93
1,3,17,5.87
1,3,18,5.49
1,3,19,5.35
1,3,20,5
2,1,1,4.2
2,1,2,4.53
2,1,3,5.08
2,1,4,5.25
2,1,5,4.48
2,1,6,5.4
2,1,7,5.03
2,1,8,4.33
2,1,9,2.85
2,1,10,3.88
2,1,11,3.8
2,1,12,4.23
2,1,13,3.93
2,1,14,4.08
2,1,15,5.17
2,1,16,5.07
2,1,17,3.82
2,1,18,4.23
2,1,19,4.03
2,1,20,4.2
2,2,1,4.78
2,2,2,4.3
2,2,3,4.95
2,2,4,4.67
2,2,5,4.03
2,2,6,5.25
2,2,7,5.43
2,2,8,3.73
2,2,9,3.5
2,2,10,4.35
2,2,11,4.08
2,2,12,4.03
2,2,13,3.03
2,2,14,4.47
2,2,15,5.4
2,2,16,5.45
2,2,17,4.45
2,2,18,3.78
2,2,19,4
2,2,20,3.7
2,3,1,3.97
2,3,2,4.08
2,3,3,5.57
2,3,4,4.17
2,3,5,3.9
2,3,6,4.85
